,movie,year,imdb,metascore,votes,genre
185,Stree,-2018,7.6,None,24972,Comedy
229,Evil Genius: The True Story of America's Most Diabolical Bank Heist,-2018,7.6,None,19572,Documentary
259,The Resident,(2018– ),7.6,None,16772,Drama
322,Happy as Lazzaro,-2018,7.6,87,12578,Drama
376,Devilman: Crybaby,-2018,7.6,None,9980,Animation
470,A Twelve-Year Night,-2018,7.6,None,7123,Biography
,Incredibles 2,-2018,7.6,80,232796,Action
,The Favourite,-2018,7.6,91,157021,Comedy
,Searching,(III) (2018),7.6,71,124456,Mystery
,"Love, Simon",-2018,7.6,72,91234,Drama
,Chilling Adventures of Sabrina,(2018– ),7.6,None,65484,Fantasy
,Hotel Mumbai,-2018,7.6,62,45627,Drama
,Cold War,-2018,7.6,90,43626,History
,Elite,(2018– ),7.6,None,37300,Drama
,Castle Rock,(2018– ),7.6,None,34291,Fantasy
,Stree,-2018,7.6,None,24972,Horror
,Evil Genius: The True Story of America's Most Diabolical Bank Heist,-2018,7.6,None,19572,Crime
,Happy as Lazzaro,-2018,7.6,87,12578,Fantasy
,Devilman: Crybaby,-2018,7.6,None,9980,Action
,A Twelve-Year Night,-2018,7.6,None,7123,Crime
,Incredibles 2,-2018,7.6,80,232796,Adventure
,The Favourite,-2018,7.6,91,157021,Drama
,Searching,(III) (2018),7.6,71,124456,Thriller
,"Love, Simon",-2018,7.6,72,91234,Romance
,Chilling Adventures of Sabrina,(2018– ),7.6,None,65484,Horror
,Hotel Mumbai,-2018,7.6,62,45627,History
,Cold War,-2018,7.6,90,43626,Music
,Elite,(2018– ),7.6,None,37300,Thriller
,Castle Rock,(2018– ),7.6,None,34291,Horror
,Devilman: Crybaby,-2018,7.6,None,9980,Fantasy
,A Twelve-Year Night,-2018,7.6,None,7123,Drama
4,A Quiet Place,-2018,7.5,82,379303,Drama
5,Ready Player One,-2018,7.5,64,341643,Action
21,BlacKkKlansman,-2018,7.5,83,189254,Biography
28,Upgrade,-2018,7.5,67,136058,Action
121,Burning,-2018,7.5,90,40291,Drama
132,The Guilty,-2018,7.5,83,37448,Crime
225,Bao,-2018,7.5,None,19969,Animation
266,Homecoming,(2018– ),7.5,None,16467,Drama
279,Legacies,(2018– ),7.5,None,15505,Adventure
302,Everything Sucks!,-2018,7.5,None,13559,Comedy
330,October,(II) (2018),7.5,None,12000,Drama
348,Karwaan,-2018,7.5,None,11118,Comedy
363,Mayans M.C.,(2018– ),7.5,None,10574,Crime
375,Kelebekler,-2018,7.5,None,10017,Comedy
379,RBG,-2018,7.5,71,9817,Documentary
392,Hichki,-2018,7.5,None,9304,Comedy
410,Dogs of Berlin,(2018– ),7.5,None,8756,Action
411,Birds of Passage,-2018,7.5,85,8731,Crime
430,Impulse,(2018– ),7.5,None,8291,Action
455,Deception,-2018,7.5,None,7522,Crime
472, The Walking Dead,(2010– ),7.5,None,7053,Drama
,A Quiet Place,-2018,7.5,82,379303,Horror
,Ready Player One,-2018,7.5,64,341643,Adventure
,BlacKkKlansman,-2018,7.5,83,189254,Crime
,Upgrade,-2018,7.5,67,136058,Horror
,Burning,-2018,7.5,90,40291,Mystery
,The Guilty,-2018,7.5,83,37448,Drama
,Bao,-2018,7.5,None,19969,Short
,Homecoming,(2018– ),7.5,None,16467,Thriller
,Legacies,(2018– ),7.5,None,15505,Drama
,October,(II) (2018),7.5,None,12000,Romance
,Karwaan,-2018,7.5,None,11118,Drama
,Mayans M.C.,(2018– ),7.5,None,10574,Drama
,Kelebekler,-2018,7.5,None,10017,Drama
,RBG,-2018,7.5,71,9817,Biography
,Hichki,-2018,7.5,None,9304,Drama
,Dogs of Berlin,(2018– ),7.5,None,8756,Crime
,Birds of Passage,-2018,7.5,85,8731,Drama
,Impulse,(2018– ),7.5,None,8291,Drama
,Deception,-2018,7.5,None,7522,Drama
, The Walking Dead,(2010– ),7.5,None,7053,Horror
,A Quiet Place,-2018,7.5,82,379303,Sci-Fi
,Ready Player One,-2018,7.5,64,341643,Sci-Fi
,BlacKkKlansman,-2018,7.5,83,189254,Drama
,Upgrade,-2018,7.5,67,136058,Sci-Fi
,The Guilty,-2018,7.5,83,37448,Thriller
,Bao,-2018,7.5,None,19969,Family
,Legacies,(2018– ),7.5,None,15505,Fantasy
,Mayans M.C.,(2018– ),7.5,None,10574,Thriller
,Dogs of Berlin,(2018– ),7.5,None,8756,Drama
,Impulse,(2018– ),7.5,None,8291,Sci-Fi
,Deception,-2018,7.5,None,7522,Mystery
, The Walking Dead,(2010– ),7.5,None,7053,Thriller
85,Eighth Grade,-2018,7.4,89,56104,Comedy
123,Mid90s,-2018,7.4,66,40027,Comedy
146,Mirage,-2018,7.4,None,32872,Drama
159,The Guernsey Literary and Potato Peel Pie Society,-2018,7.4,65,29143,Drama
181,The Hate U Give,-2018,7.4,81,25587,Crime
198,Blindspotting,-2018,7.4,77,23165,Comedy
292,Raid,-2018,7.4,None,14310,Action
365,Journal 64,-2018,7.4,None,10539,Crime
434,The Little Drummer Girl,-2018,7.4,None,8222,Drama
483, The Walking Dead,(2010– ),7.4,None,6846,Drama
,Eighth Grade,-2018,7.4,89,56104,Drama
,Mid90s,-2018,7.4,66,40027,Drama
,Mirage,-2018,7.4,None,32872,Mystery
,The Guernsey Literary and Potato Peel Pie Society,-2018,7.4,65,29143,Romance
,The Hate U Give,-2018,7.4,81,25587,Drama
,Blindspotting,-2018,7.4,77,23165,Crime
,Raid,-2018,7.4,None,14310,Crime
,Journal 64,-2018,7.4,None,10539,Mystery
,The Little Drummer Girl,-2018,7.4,None,8222,Thriller
, The Walking Dead,(2010– ),7.4,None,6846,Horror
,Mirage,-2018,7.4,None,32872,Romance
,The Guernsey Literary and Potato Peel Pie Society,-2018,7.4,65,29143,War
,Blindspotting,-2018,7.4,77,23165,Drama
,Raid,-2018,7.4,None,14310,Drama
,Journal 64,-2018,7.4,None,10539,Thriller
, The Walking Dead,(2010– ),7.4,None,6846,Thriller
1,Black Panther,-2018,7.3,88,580324,Action
18,Hereditary,-2018,7.3,87,207223,Drama
26,First Man,-2018,7.3,84,151647,Biography
44,The Ballad of Buster Scruggs,-2018,7.3,79,109456,Comedy
66,Instant Family,-2018,7.3,57,71647,Comedy
69,Lost in Space,(2018– ),7.3,None,68223,Adventure
73,Christopher Robin,-2018,7.3,60,63765,Comedy
108,Beautiful Boy,(I) (2018),7.3,62,44912,Biography
169,Safe,-2018,7.3,None,27503,Drama
289,The Nightingale,(I) (2018),7.3,77,14580,Adventure
310,I Can Only Imagine,-2018,7.3,30,13219,Biography
335,The Death of Superman,(2018 Video),7.3,None,11782,Animation
356,Utøya: July 22,-2018,7.3,71,10767,Drama
357,GOLD,(I) (2018),7.3,None,10701,Drama
362,The American Meme,-2018,7.3,60,10602,Documentary
499,Ordeal by Innocence,-2018,7.3,None,6589,Crime
,Black Panther,-2018,7.3,88,580324,Adventure
,Hereditary,-2018,7.3,87,207223,Horror
,First Man,-2018,7.3,84,151647,Drama
,The Ballad of Buster Scruggs,-2018,7.3,79,109456,Drama
,Instant Family,-2018,7.3,57,71647,Drama
,Lost in Space,(2018– ),7.3,None,68223,Drama
,Christopher Robin,-2018,7.3,60,63765,Drama
,Beautiful Boy,(I) (2018),7.3,62,44912,Drama
,Safe,-2018,7.3,None,27503,Mystery
,The Nightingale,(I) (2018),7.3,77,14580,Drama
,I Can Only Imagine,-2018,7.3,30,13219,Drama
,The Death of Superman,(2018 Video),7.3,None,11782,Action
,Utøya: July 22,-2018,7.3,71,10767,Thriller
,GOLD,(I) (2018),7.3,None,10701,History
,Ordeal by Innocence,-2018,7.3,None,6589,Drama
,Black Panther,-2018,7.3,88,580324,Sci-Fi
,Hereditary,-2018,7.3,87,207223,Mystery
,First Man,-2018,7.3,84,151647,History
,The Ballad of Buster Scruggs,-2018,7.3,79,109456,Musical
,Lost in Space,(2018– ),7.3,None,68223,Family
,Christopher Robin,-2018,7.3,60,63765,Family
,The Nightingale,(I) (2018),7.3,77,14580,Thriller
,I Can Only Imagine,-2018,7.3,30,13219,Family
,The Death of Superman,(2018 Video),7.3,None,11782,Family
,GOLD,(I) (2018),7.3,None,10701,Sport
,Ordeal by Innocence,-2018,7.3,None,6589,Mystery
47,Vice,(I) (2018),7.2,61,107419,Biography
48,Black Mirror: Bandersnatch,(2018 TV Movie),7.2,None,106407,Drama
63,To All the Boys I've Loved Before,-2018,7.2,64,78186,Drama
111,Leave No Trace,-2018,7.2,88,43712,Drama
124,Disenchantment,(2018– ),7.2,None,39252,Animation
155,Arif V 216,-2018,7.2,None,30522,Comedy
163,Stan & Ollie,-2018,7.2,75,28807,Biography
226,Dogman,-2018,7.2,71,19968,Crime
228,Manifest,(2018– ),7.2,None,19821,Drama
299,The Tale,-2018,7.2,90,13808,Drama
305,Private Life,-2018,7.2,83,13447,Comedy
307,Skin,(V) (2018),7.2,58,13362,Biography
358,Girl,(II) (2018),7.2,73,10700,Drama
382,Bonding,(2018– ),7.2,None,9654,Comedy
425,A.P. Bio,(2018– ),7.2,None,8405,Comedy
427,The Crossing,-2018,7.2,None,8336,Adventure
438,Wild Rose,-2018,7.2,80,8115,Comedy
441,Campeones,(I) (2018),7.2,None,8031,Comedy
493,Love Per Square Foot,-2018,7.2,None,6701,Comedy
,Vice,(I) (2018),7.2,61,107419,Comedy
,Black Mirror: Bandersnatch,(2018 TV Movie),7.2,None,106407,Mystery
,To All the Boys I've Loved Before,-2018,7.2,64,78186,Romance
,Disenchantment,(2018– ),7.2,None,39252,Action
,Arif V 216,-2018,7.2,None,30522,Sci-Fi
,Stan & Ollie,-2018,7.2,75,28807,Comedy
,Dogman,-2018,7.2,71,19968,Drama
,Manifest,(2018– ),7.2,None,19821,Mystery
,The Tale,-2018,7.2,90,13808,Mystery
,Private Life,-2018,7.2,83,13447,Drama
,Skin,(V) (2018),7.2,58,13362,Crime
,Bonding,(2018– ),7.2,None,9654,Drama
,The Crossing,-2018,7.2,None,8336,Drama
,Wild Rose,-2018,7.2,80,8115,Drama
,Campeones,(I) (2018),7.2,None,8031,Drama
,Love Per Square Foot,-2018,7.2,None,6701,Romance
,Vice,(I) (2018),7.2,61,107419,Drama
,Black Mirror: Bandersnatch,(2018 TV Movie),7.2,None,106407,Sci-Fi
,Disenchantment,(2018– ),7.2,None,39252,Adventure
,Stan & Ollie,-2018,7.2,75,28807,Drama
,Dogman,-2018,7.2,71,19968,Thriller
,The Tale,-2018,7.2,90,13808,Thriller
,Skin,(V) (2018),7.2,58,13362,Drama
,The Crossing,-2018,7.2,None,8336,Sci-Fi
,Wild Rose,-2018,7.2,80,8115,Music
,Campeones,(I) (2018),7.2,None,8031,Sport
11,Ant-Man and the Wasp,-2018,7.1,70,286120,Action
38,Ralph Breaks the Internet,-2018,7.1,71,118844,Animation
39,Bad Times at the El Royale,-2018,7.1,60,118284,Crime
41,Sicario: Day of the Soldado,-2018,7.1,61,114531,Action
54,Creed II,-2018,7.1,66,95937,Drama
113,Climax,(I) (2018),7.1,67,42983,Drama
