,movie,year,imdb,metascore,votes,genre
,Night Hunter,-2018,5.9,31,10658,Crime
,The Isle,-2018,5.9,None,6671,Mystery
,Cam,-2018,5.9,71,22847,Thriller
,Unfriended: Dark Web,-2018,5.9,53,19434,Thriller
,Simmba,-2018,5.9,None,14931,Drama
,Assassination Nation,-2018,5.9,56,12893,Crime
,Night Hunter,-2018,5.9,31,10658,Drama
,The Isle,-2018,5.9,None,6671,Thriller
53,Skyscraper,-2018,5.8,51,96524,Action
114,Extinction,-2018,5.8,40,42626,Action
147,Sierra Burgess Is a Loser,-2018,5.8,60,32212,Comedy
194,Tau,-2018,5.8,43,24161,Sci-Fi
197,High Life,-2018,5.8,77,23777,Adventure
224,Second Act,-2018,5.8,46,20052,Comedy
319,7 Days in Entebbe,-2018,5.8,49,12713,Action
324,Kin,(I) (2018),5.8,35,12378,Action
328,The Vanishing,-2018,5.8,64,12219,Crime
343,In Darkness,-2018,5.8,59,11304,Mystery
450,Mary Magdalene,-2018,5.8,48,7739,Biography
459,I Still See You,-2018,5.8,31,7365,Fantasy
460,Tyler Perry's Acrimony,-2018,5.8,32,7362,Drama
,Skyscraper,-2018,5.8,51,96524,Adventure
,Extinction,-2018,5.8,40,42626,Drama
,Sierra Burgess Is a Loser,-2018,5.8,60,32212,Drama
,Tau,-2018,5.8,43,24161,Thriller
,High Life,-2018,5.8,77,23777,Drama
,Second Act,-2018,5.8,46,20052,Drama
,7 Days in Entebbe,-2018,5.8,49,12713,Drama
,Kin,(I) (2018),5.8,35,12378,Adventure
,The Vanishing,-2018,5.8,64,12219,Drama
,In Darkness,-2018,5.8,59,11304,Thriller
,Mary Magdalene,-2018,5.8,48,7739,Drama
,I Still See You,-2018,5.8,31,7365,Thriller
,Tyler Perry's Acrimony,-2018,5.8,32,7362,Romance
,Skyscraper,-2018,5.8,51,96524,Thriller
,Extinction,-2018,5.8,40,42626,Sci-Fi
,Sierra Burgess Is a Loser,-2018,5.8,60,32212,Romance
,High Life,-2018,5.8,77,23777,Horror
,Second Act,-2018,5.8,46,20052,Romance
,7 Days in Entebbe,-2018,5.8,49,12713,History
,Kin,(I) (2018),5.8,35,12378,Crime
,The Vanishing,-2018,5.8,64,12219,Mystery
,Tyler Perry's Acrimony,-2018,5.8,32,7362,Thriller
29,The Meg,-2018,5.7,46,135278,Action
99,Insidious: The Last Key,-2018,5.7,49,48829,Horror
174,The Darkest Minds,-2018,5.7,39,26324,Action
341,Uncle Drew,-2018,5.7,57,11344,Comedy
413,Final Score,-2018,5.7,53,8613,Action
414,Little Italy,-2018,5.7,28,8596,Comedy
443,The Domestics,-2018,5.7,None,7930,Action
451,Magnum P.I.,(2018– ),5.7,None,7737,Action
473,The Holiday Calendar,-2018,5.7,None,7033,Drama
484,I Think We're Alone Now,-2018,5.7,51,6837,Drama
,The Meg,-2018,5.7,46,135278,Horror
,Insidious: The Last Key,-2018,5.7,49,48829,Mystery
,The Darkest Minds,-2018,5.7,39,26324,Adventure
,Uncle Drew,-2018,5.7,57,11344,Sport
,Final Score,-2018,5.7,53,8613,Drama
,Little Italy,-2018,5.7,28,8596,Romance
,The Domestics,-2018,5.7,None,7930,Horror
,Magnum P.I.,(2018– ),5.7,None,7737,Adventure
,The Holiday Calendar,-2018,5.7,None,7033,Fantasy
,I Think We're Alone Now,-2018,5.7,51,6837,Mystery
,The Meg,-2018,5.7,46,135278,Sci-Fi
,Insidious: The Last Key,-2018,5.7,49,48829,Thriller
,The Darkest Minds,-2018,5.7,39,26324,Drama
,Final Score,-2018,5.7,53,8613,Thriller
,The Domestics,-2018,5.7,None,7930,Sci-Fi
,Magnum P.I.,(2018– ),5.7,None,7737,Crime
,The Holiday Calendar,-2018,5.7,None,7033,Romance
,I Think We're Alone Now,-2018,5.7,51,6837,Sci-Fi
51,Pacific Rim: Uprising,-2018,5.6,44,100143,Action
150,Hold the Dark,-2018,5.6,63,31047,Drama
152,Life of the Party,(I) (2018),5.6,46,30803,Comedy
153,Night School,-2018,5.6,43,30773,Comedy
271,Batman Ninja,-2018,5.6,None,16183,Animation
276,Goosebumps 2: Haunted Halloween,-2018,5.6,53,15752,Adventure
383,Billionaire Boys Club,-2018,5.6,30,9631,Biography
409,The Man Who Killed Hitler and Then the Bigfoot,-2018,5.6,51,8758,Adventure
412,Spinning Man,-2018,5.6,44,8649,Drama
447,A.I. Rising,-2018,5.6,None,7806,Drama
,Pacific Rim: Uprising,-2018,5.6,44,100143,Adventure
,Hold the Dark,-2018,5.6,63,31047,Horror
,Batman Ninja,-2018,5.6,None,16183,Action
,Goosebumps 2: Haunted Halloween,-2018,5.6,53,15752,Comedy
,Billionaire Boys Club,-2018,5.6,30,9631,Drama
,The Man Who Killed Hitler and Then the Bigfoot,-2018,5.6,51,8758,Drama
,Spinning Man,-2018,5.6,44,8649,Mystery
,A.I. Rising,-2018,5.6,None,7806,Romance
,Pacific Rim: Uprising,-2018,5.6,44,100143,Sci-Fi
,Hold the Dark,-2018,5.6,63,31047,Mystery
,Batman Ninja,-2018,5.6,None,16183,Sci-Fi
,Goosebumps 2: Haunted Halloween,-2018,5.6,53,15752,Family
,Billionaire Boys Club,-2018,5.6,30,9631,Thriller
,The Man Who Killed Hitler and Then the Bigfoot,-2018,5.6,51,8758,Sci-Fi
,Spinning Man,-2018,5.6,44,8649,Thriller
,A.I. Rising,-2018,5.6,None,7806,Sci-Fi
58,The Cloverfield Paradox,-2018,5.5,37,90526,Adventure
107,I Feel Pretty,-2018,5.5,48,45480,Comedy
171,Replicas,-2018,5.5,19,27391,Drama
177,The Nutcracker and the Four Realms,-2018,5.5,39,25952,Adventure
202,Nothing to Lose,-2018,5.5,None,22809,Biography
208,Zero,(III) (2018),5.5,None,22281,Comedy
321,The Package,(II) (2018),5.5,None,12595,Comedy
327,Hell Fest,-2018,5.5,26,12246,Horror
350,Wildling,-2018,5.5,58,10950,Drama
366,King of Thieves,-2018,5.5,47,10521,Crime
476,The Little Stranger,-2018,5.5,67,6953,Drama
,The Cloverfield Paradox,-2018,5.5,37,90526,Drama
,I Feel Pretty,-2018,5.5,48,45480,Romance
,Replicas,-2018,5.5,19,27391,Sci-Fi
,The Nutcracker and the Four Realms,-2018,5.5,39,25952,Family
,Nothing to Lose,-2018,5.5,None,22809,Drama
,Zero,(III) (2018),5.5,None,22281,Drama
,The Package,(II) (2018),5.5,None,12595,Thriller
,Hell Fest,-2018,5.5,26,12246,Thriller
,Wildling,-2018,5.5,58,10950,Fantasy
,King of Thieves,-2018,5.5,47,10521,Drama
,The Little Stranger,-2018,5.5,67,6953,Horror
,The Cloverfield Paradox,-2018,5.5,37,90526,Horror
,Replicas,-2018,5.5,19,27391,Thriller
,The Nutcracker and the Four Realms,-2018,5.5,39,25952,Fantasy
,Zero,(III) (2018),5.5,None,22281,Romance
,Wildling,-2018,5.5,58,10950,Horror
,The Little Stranger,-2018,5.5,67,6953,Mystery
43,The Predator,-2018,5.4,48,109694,Action
164,Mute,(II) (2018),5.4,35,28482,Mystery
167,Winchester,-2018,5.4,28,27750,Biography
192,"Game Over, Man!",-2018,5.4,32,24346,Action
207,The Happytime Murders,-2018,5.4,27,22388,Action
251,Terminal,(I) (2018),5.4,27,17371,Crime
323,Breaking In,-2018,5.4,42,12494,Action
,The Predator,-2018,5.4,48,109694,Adventure
,Mute,(II) (2018),5.4,35,28482,Sci-Fi
,Winchester,-2018,5.4,28,27750,Drama
,"Game Over, Man!",-2018,5.4,32,24346,Comedy
,The Happytime Murders,-2018,5.4,27,22388,Comedy
,Terminal,(I) (2018),5.4,27,17371,Drama
,Breaking In,-2018,5.4,42,12494,Crime
,The Predator,-2018,5.4,48,109694,Sci-Fi
,Mute,(II) (2018),5.4,35,28482,Thriller
,Winchester,-2018,5.4,28,27750,Fantasy
,The Happytime Murders,-2018,5.4,27,22388,Crime
,Terminal,(I) (2018),5.4,27,17371,Thriller
,Breaking In,-2018,5.4,42,12494,Drama
46,The Nun,-2018,5.3,46,108176,Horror
82,Robin Hood,-2018,5.3,32,58395,Action
396,Acts of Violence,-2018,5.3,28,9142,Action
403,A-X-L,-2018,5.3,29,8940,Action
461,The Conners,(2018– ),5.3,None,7336,Comedy
,The Nun,-2018,5.3,46,108176,Mystery
,Robin Hood,-2018,5.3,32,58395,Adventure
,Acts of Violence,-2018,5.3,28,9142,Crime
,A-X-L,-2018,5.3,29,8940,Adventure
,The Nun,-2018,5.3,46,108176,Thriller
,Robin Hood,-2018,5.3,32,58395,Fantasy
,Acts of Violence,-2018,5.3,28,9142,Drama
,A-X-L,-2018,5.3,29,8940,Family
98,The First Purge,-2018,5.2,54,49608,Action
117,Truth or Dare,(I) (2018),5.2,35,42191,Horror
173,The 15:17 to Paris,-2018,5.2,45,26716,Biography
187,The Strangers: Prey at Night,-2018,5.2,48,24915,Horror
269,The Possession of Hannah Grace,-2018,5.2,37,16254,Horror
288,Ibiza,-2018,5.2,56,14603,Comedy
389,Sherlock Gnomes,-2018,5.2,36,9419,Animation
405,Father of the Year,-2018,5.2,32,8869,Comedy
419,Slaughterhouse Rulez,-2018,5.2,39,8485,Action
452,A Christmas Prince: The Royal Wedding,-2018,5.2,None,7677,Drama
,The First Purge,-2018,5.2,54,49608,Horror
,Truth or Dare,(I) (2018),5.2,35,42191,Thriller
,The 15:17 to Paris,-2018,5.2,45,26716,Drama
,The Possession of Hannah Grace,-2018,5.2,37,16254,Mystery
,Ibiza,-2018,5.2,56,14603,Romance
,Sherlock Gnomes,-2018,5.2,36,9419,Adventure
,Slaughterhouse Rulez,-2018,5.2,39,8485,Comedy
,A Christmas Prince: The Royal Wedding,-2018,5.2,None,7677,Romance
,The First Purge,-2018,5.2,54,49608,Sci-Fi
,The 15:17 to Paris,-2018,5.2,45,26716,Thriller
,The Possession of Hannah Grace,-2018,5.2,37,16254,Thriller
,Sherlock Gnomes,-2018,5.2,36,9419,Comedy
,Slaughterhouse Rulez,-2018,5.2,39,8485,Fantasy
247,The Hurricane Heist,-2018,5.1,35,17615,Action
258,The Week Of,-2018,5.1,41,16791,Comedy
347,Occupation,-2018,5.1,45,11134,Action
373,Down a Dark Hall,-2018,5.1,56,10146,Drama
402,Action Point,-2018,5.1,36,9000,Comedy
,The Hurricane Heist,-2018,5.1,35,17615,Adventure
,Occupation,-2018,5.1,45,11134,Drama
,Down a Dark Hall,-2018,5.1,56,10146,Fantasy
,The Hurricane Heist,-2018,5.1,35,17615,Crime
,Occupation,-2018,5.1,45,11134,Sci-Fi
,Down a Dark Hall,-2018,5.1,56,10146,Horror
118,How It Ends,-2018,5,36,41692,Action
,How It Ends,-2018,5,36,41692,Adventure
,How It Ends,-2018,5,36,41692,Drama
268,Fahrenheit 451,-2018,4.9,None,16295,Drama
428,Baaghi 2,-2018,4.9,None,8333,Action
436,Proud Mary,-2018,4.9,35,8199,Action
,Fahrenheit 451,-2018,4.9,None,16295,Sci-Fi
,Baaghi 2,-2018,4.9,None,8333,Thriller
,Proud Mary,-2018,4.9,35,8199,Crime
,Fahrenheit 451,-2018,4.9,None,16295,Thriller
,Proud Mary,-2018,4.9,35,8199,Drama
175,The Titan,-2018,4.8,33,26307,Drama
320,Gotti,-2018,4.8,24,12602,Biography
394,Malevolent,(III) (2018),4.8,None,9240,Horror
,The Titan,-2018,4.8,33,26307,Mystery
,Gotti,-2018,4.8,24,12602,Crime
,The Titan,-2018,4.8,33,26307,Romance
,Gotti,-2018,4.8,24,12602,Drama
456,Taxi 5,-2018,4.7,None,7498,Action
,Taxi 5,-2018,4.7,None,7498,Adventure
,Taxi 5,-2018,4.7,None,7498,Comedy
416,Dhadak,-2018,4.6,None,8578,Drama
,Dhadak,-2018,4.6,None,8578,Romance
95,Fifty Shades Freed,-2018,4.5,31,51166,Drama
332,Charmed,(2018– ),4.5,None,11956,Drama
,Fifty Shades Freed,-2018,4.5,31,51166,Romance
,Charmed,(2018– ),4.5,None,11956,Fantasy
,Fifty Shades Freed,-2018,4.5,31,51166,Thriller
479,Patient Zero,(I) (2018),4.4,None,6923,Action
,Patient Zero,(I) (2018),4.4,None,6923,Drama
,Patient Zero,(I) (2018),4.4,None,6923,Horror
352,Siberia,-2018,4.3,34,10890,Crime
,Siberia,-2018,4.3,34,10890,Romance
,Siberia,-2018,4.3,34,10890,Thriller
126,A Wrinkle in Time,-2018,4.2,53,38888,Adventure
454,The Little Mermaid,-2018,4.2,None,7550,Adventure
,A Wrinkle in Time,-2018,4.2,53,38888,Family
,The Little Mermaid,-2018,4.2,None,7550,Drama
,A Wrinkle in Time,-2018,4.2,53,38888,Fantasy
,The Little Mermaid,-2018,4.2,None,7550,Fantasy
89,Enes Batur Hayal mi Gerçek mi?,-2018,4.1,None,53495,Comedy
261,Thugs of Hindostan,-2018,4,None,16685,Action
,Thugs of Hindostan,-2018,4,None,16685,Adventure
172,Holmes & Watson,-2018,3.8,24,27110,Comedy
179,Escape Plan 2: Hades,-2018,3.8,None,25854,Action
345,Troy: Fall of a City,(2018– ),3.8,None,11193,Action
,Holmes & Watson,-2018,3.8,24,27110,Crime
,Escape Plan 2: Hades,-2018,3.8,None,25854,Crime
,Troy: Fall of a City,(2018– ),3.8,None,11193,Adventure
,Holmes & Watson,-2018,3.8,24,27110,Mystery
,Escape Plan 2: Hades,-2018,3.8,None,25854,Mystery
,Troy: Fall of a City,(2018– ),3.8,None,11193,Fantasy
398,Swiped,(I) (2018),3.6,None,9114,Comedy
162,The Open House,-2018,3.2,None,28836,Horror
195,Slender Man,-2018,3.2,30,24073,Horror
349,Veere Di Wedding,-2018,3.2,None,11035,Comedy
,The Open House,-2018,3.2,None,28836,Thriller
,Slender Man,-2018,3.2,30,24073,Mystery
,Slender Man,-2018,3.2,30,24073,Thriller
433,Cumali Ceber 2,-2018,2.9,None,8222,Comedy
480,A Sniper's War,-2018,2.2,None,6897,Documentary
,A Sniper's War,-2018,2.2,None,6897,War
151,Race 3,-2018,2,None,30952,Action
,Race 3,-2018,2,None,30952,Thriller
